,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,year,Ladder_score,Country_name,RI_Central and Eastern Europe,RI_Commonwealth of Independent States,RI_East Asia,RI_Latin America and Caribbean,RI_Middle East and North Africa,RI_North America and ANZ,RI_South Asia,RI_Southeast Asia,RI_Sub-Saharan Africa,RI_Western Europe
203,9.386,0.753,62.26,0.522,-0.207,0.871,2007,4.568,8,0,1,0,0,0,0,0,0,0,0
204,8.97,0.838,65.86,0.736,0.11,0.847,2007,4.415,138,0,0,0,0,0,0,1,0,0,0
205,10.703,0.965,71.72,0.891,0.347,0.513,2007,7.285,6,0,0,0,0,0,1,0,0,0,0
206,8.277,0.479,55.0,0.396,0.089,0.794,2007,5.671,113,0,0,0,0,0,0,1,0,0,0
207,9.859,0.937,68.0,0.64,0.083,0.915,2007,6.894,115,0,0,0,1,0,0,0,0,0,0
208,9.978,0.913,66.7,0.772,-0.047,0.925,2007,5.886,119,1,0,0,0,0,0,0,0,0,0
209,7.187,0.686,41.2,0.72,0.248,0.83,2007,3.585,128,0,0,0,0,0,0,0,0,1,0
210,8.364,0.718,44.64,0.635,0.136,0.918,2007,4.89,108,0,0,0,0,0,0,0,0,1,0
211,10.806,0.917,71.48,0.91,0.146,0.289,2007,7.241,142,0,0,0,0,0,0,0,0,0,1
212,7.609,0.727,61.08,0.818,0.0,0.659,2007,4.432,146,0,1,0,0,0,0,0,0,0,0
213,9.532,0.844,65.6,0.453,-0.165,0.905,2007,4.75,127,1,0,0,0,0,0,0,0,0,0
214,8.608,0.801,60.0,0.852,-0.022,0.88,2007,5.074,118,0,0,0,0,0,0,0,1,0,0
215,9.416,0.811,64.095,0.439,0.08,0.87,2007,4.494,110,1,0,0,0,0,0,0,0,0,0
216,10.689,0.892,63.86,0.622,0.005,0.762412429378531,2007,7.267,125,0,0,0,0,1,0,0,0,0,0
217,7.903,0.718,54.06,0.698,-0.002,0.827,2007,4.68,126,0,0,0,0,0,0,0,0,1,0
218,9.343,0.766,64.22,0.6810393013100436,-0.127,0.709,2008,4.93,73,0,0,0,0,1,0,0,0,0,0
219,9.444,0.81,49.26,0.749,-0.095,0.866,2008,5.346,134,0,0,0,0,0,0,0,0,1,0
220,10.546,0.887,73.56,0.772,-0.135,0.816,2008,5.911,72,0,0,1,0,0,0,0,0,0,0
221,10.048,0.892,67.06,0.678,-0.132,0.865,2008,5.961,4,0,0,0,1,0,0,0,0,0,0
222,10.606,0.83,69.14,0.642,-0.017,0.785,2008,5.548,145,0,0,1,0,0,0,0,0,0,0
223,9.351,0.88,65.46,0.795,-0.042,0.763,2008,6.168,30,0,0,0,1,0,0,0,0,0,0
224,10.796,0.951,70.08,0.934,0.028,0.217,2008,7.671,47,0,0,0,0,0,0,0,0,0,1
225,8.44,0.805,66.18,0.889,0.201,0.789,2008,5.48,162,0,0,0,0,0,0,0,1,0,0
